State / UT,Andhra Pradesh,Bihar,Chhattisgarh,Delhi,Gujarat,Haryana,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Odisha,Punjab,Rajasthan,Tamil Nadu,Telangana,Uttar Pradesh,West Bengal
Jan-24,12.1,16.5,1.8,11.2,2.5,29.4,22.1,17.8,3.2,7.2,2.9,4.8,2.1,9.8,25.1,5.5,6.5,7.8,6.9
Feb-24,11.5,15.8,1.5,10.5,2.2,28.5,23.5,16.9,2.9,6.8,2.5,4.5,1.8,9.2,24.8,4.9,5.8,7.2,6.2
Mar-24,N/A,14.9,1.2,9.8,2,26.8,N/A,17.5,2.5,N/A,2.1,4.1,1.5,N/A,26.4,4.2,N/A,6.5,5.8
Apr-24,N/A,17.6,0.9,N/A,1.8,27.9,25,N/A,2.1,7.5,1.9,N/A,1.2,10.5,28.8,3.8,N/A,N/A,N/A
May-24,10.2,18.1,0.8,11,1.9,25.1,24.1,16.4,2.8,6.9,2.2,5.4,1.4,11.2,27.9,4.5,6.1,7,6.5
Jun-24,9.8,19.2,1.1,12.6,2.2,26.8,22.9,18.2,3.1,7.1,2.6,5.9,1.9,10.9,29.5,5.1,5.7,8.2,7.1
Jul-24,9.5,18.8,N/A,N/A,2.4,28.1,N/A,17.9,3.5,N/A,3,6.2,N/A,N/A,30.1,5.8,5.2,7.9,N/A
Aug-24,N/A,N/A,1.4,13.1,N/A,31.2,21.5,N/A,3.9,6.4,3.2,N/A,2.2,9.5,28.6,N/A,N/A,8.5,7.4
Sep-24,N/A,16.5,1,N/A,2.1,29.5,20.1,15.8,N/A,N/A,2.8,N/A,1.8,N/A,27.4,N/A,4.9,7.8,N/A
Oct-24,8.7,15.3,0.9,11.9,1.9,30.7,19.8,16.1,2.8,7,2.5,5.1,1.6,8.8,26.9,4.2,4.5,N/A,6.8
Nov-24,8.1,N/A,1.2,10.5,2.3,29.3,N/A,15.2,2.4,6.5,2.9,4.8,1.9,8.4,25.8,3.9,N/A,6.9,6.1
Dec-24,7.9,14.5,1.5,9.8,2.6,30.1,20.5,14.8,2.9,6.1,3.4,4.5,2.2,7.9,24.9,3.5,5.1,6.4,5.7
Jan-25,N/A,16.2,1.1,10.1,2.8,30.5,N/A,16.5,2.5,N/A,N/A,N/A,2.5,N/A,26.6,N/A,N/A,6.9,N/A
Feb-25,N/A,N/A,0.9,N/A,2.5,29.8,21.1,N/A,2.2,N/A,N/A,N/A,2.1,N/A,25.9,N/A,N/A,6.5,N/A
Mar-25,N/A,15.5,0.8,11.2,2.2,28.5,N/A,17,2.8,N/A,N/A,N/A,1.9,N/A,25.1,N/A,N/A,7.1,N/A
Apr-25,N/A,N/A,0.6,12,2,28.1,22.5,N/A,3.1,N/A,N/A,N/A,1.5,N/A,24.8,N/A,N/A,7.5,N/A
May-25,N/A,17.1,0.9,12.5,2.1,27.5,23,17.8,3.5,N/A,N/A,N/A,1.8,N/A,24,N/A,N/A,7.9,N/A
Jun-25,N/A,18.2,1.9,12.6,2.5,27.8,24.5,17.5,3.5,N/A,N/A,N/A,2.1,N/A,23.1,N/A,N/A,8.5,N/A
Jul-25,9.7,19.5,1.5,13.1,2.4,28.9,23.1,18.2,3.6,7.2,2.8,6.5,1.9,11.5,25.4,4.8,4.5,7.8,8.1
