 City ,Forecast-  01-03-2025,Forecast-  01-06-2025,Actual - 01-03-2025,Actual - 01-06-2025
 Mumbai ,"25,171.00","25,381.00","25,203.00","25,364.00"
 Pune ,"8,525.00","8,583.00","8,601.00","8,619.00"
 Hyderabad ,"6,385.00","6,458.00","6,331.00","6,298.00"
 Nagpur ,"6,511.00","6,488.00","6,615.00","6,584.00"
 Bengaluru ,"11,014.00","11,114.00","11,047.00","11,036.00"
 Chennai ,"8,168.00","8,143.00","8,387.00","8,455.00"
 Kolkata ,"6,099.00","6,128.00","6,146.00","6,154.00"
 Ahmedabad ,"6,752.00","6,837.00","6,808.00","6,913.00"
 Nashik ,"4,489.00","4,535.00","4,527.00","4,564.00"
 Indore ,"4,287.00","4,386.00","4,288.00","4,300.00"
 Chandigarh (Tricity) ,"7,233.00","7,321.00","7,290.00","7,398.00"
 Jaipur ,"4,479.00","4,497.00","4,493.00","4,435.00"
 Surat ,"5,110.00","5,147.00","5,094.00","5,043.00"
 Vadodara ,"4,867.00","4,923.00","4,830.00","4,851.00"
 Kochi ,"8,285.00","7,992.00","8,287.00","7,922.00"
 Kanpur ,"4,583.00","4,579.00","4,328.00","4,343.00"
 Lucknow ,"5,486.00","5,385.00","5,521.00","5,654.00"
 Coimbatore ,"8,201.00","8,230.00","7,846.00","8,003.00"
 Raipur ,"2,708.00","2,752.00","2,358.00","2,233.00"
 Patna ,"6,476.00","6,475.00","6,470.00","6,698.00"
 Bhopal ,"4,012.00","3,932.00","4,179.00","4,249.00"
 Bhubaneswar ,"8,816.00","8,874.00","8,903.00","8,889.00"
 Rajkot ,"6,054.00","6,088.00","6,017.00","5,982.00"
 Vizag ,"5,905.00","6,017.00","5,855.00","5,845.00"
 Dehradun ,"7,209.00","7,314.00","7,173.00","7,236.00"
 Ludhiana ,"3,784.00","3,557.00","4,117.00","4,127.00"
 Guwahati ,"6,565.00","6,565.00","6,491.00","6,444.00"
 Vijayawada ,"5,027.00","5,070.00","5,101.00","5,169.00"
 Meerut ,"4,684.00","4,695.00","4,794.00","4,678.00"
 Faridabad ,"6,302.00","6,257.00","6,231.00","6,378.00"
 Gurugram ,"11,014.00","11,708.00","11,088.00","11,939.00"
 Gandhinagar ,"7,108.00","7,224.00","7,089.00","7,100.00"
 Ghaziabad ,"6,295.00","6,287.00","6,388.00","6,438.00"
 Greater Noida ,"6,937.00","6,835.00","7,088.00","7,241.00"
 Noida ,"6,413.00","6,380.00","6,616.00","6,702.00"
 Delhi ,"7,658.00","7,531.00","7,814.00","7,694.00"
 Kalyan Dombivali ,"10,300.00","10,408.00","10,282.00","10,254.00"
 Mira Bhayander ,"14,067.00","14,256.00","14,202.00","14,335.00"
 Navi Mumbai ,"13,701.00","13,906.00","16,164.00","16,793.00"
 Panvel ,"12,238.00","12,122.00","12,508.00","12,521.00"
 Thane ,"17,843.00","18,092.00","17,707.00","17,670.00"
 Vasai Virar ,"8,714.00","8,856.00","8,682.00","8,754.00"
 Howrah ,"4,230.00","4,200.00","4,211.00","4,200.00"
 New Town Kolkata ,"7,665.00","7,671.00","7,653.00","7,751.00"
 Chakan ,"5,471.00","5,529.00","5,545.00","5,602.00"
 Pimpri Chinchwad ,"6,671.00","6,748.00","6,766.00","6,875.00"
 Ranchi ,"4,254.00","4,152.00","4,510.00","4,823.00"
 Thiruvananthapuram ,"8,461.00","8,582.00","8,496.00","8,954.00"
 Bhiwadi ,"3,264.00","3,236.00","3,331.00","3,253.00"
 Bidhan Nagar (Excluding Rajarhat) ,"5,382.00","5,436.00","5,329.00","5,319.00"
